texto;toxico;num_admir;num_may;num_may_esc;emojis;num_emoji;num_insultos;dir_23ps;score_emoji_tox;emphasize;series_token2;series_token;filtered_words
la etiqueta, cabron;1.0;0;0;0.0;;0;1;0;0.0;0.0;la etiqueta, cabron;['la', 'etiqueta', ',', 'cabron'];['etiqueta,', 'cabron']
hasta que un cabron trata a la lacra como se debe y todos se indignan;1.0;0;0;0.0;;0;1;0;0.0;0.0;hasta que un cabron trata a la lacra como se debe y todos se indignan;['hasta', 'que', 'un', 'cabron', 'trata', 'a', 'la', 'lacra', 'como', 'se', 'debe', 'y', 'todos', 'se', 'indignan'];['cabron', 'trata', 'lacra', 'debe', 'indignan']
la edad no la pones eh cabron;1.0;0;0;0.0;;0;1;1;0.0;1.0;la edad no la pones eh cabron;['la', 'edad', 'no', 'la', 'pones', 'eh', 'cabron'];['edad', 'no', 'pones', 'eh', 'cabron']
y de un cabron solo puedes obtener cabronadas;1.0;0;0;0.0;;0;1;1;0.0;1.0;y de un cabron solo puedes obtener cabronadas;['y', 'de', 'un', 'cabron', 'solo', 'puedes', 'obtener', 'cabronadas'];['cabron', 'solo', 'puedes', 'obtener', 'cabronadas']
eres mas guiri que los irlandeses de aqui cabron xd;1.0;0;1;0.1;;0;1;1;0.0;1.1;eres mas guiri que los irlandeses de aqui cabron xd;['eres', 'mas', 'guiri', 'que', 'los', 'irlandeses', 'de', 'aqui', 'cabron', 'xd'];['mas', 'guiri', 'irlandeses', 'aqui', 'cabron', 'xd']
john23 cabron me cago en las putas hormigas de tu casa mmb;1.0;0;0;0.0;;0;1;0;0.0;0.0;john23 cabron me cago en las putas hormigas de tu casa mmb;['john23', 'cabron', 'me', 'cago', 'en', 'las', 'putas', 'hormigas', 'de', 'tu', 'casa', 'mmb'];['john23', 'cabron', 'cago', 'putas', 'hormigas', 'casa', 'mmb']
ya lo se cabron... soy problema y solucion;1.0;0;0;0.0;;0;0;0;0.0;0.0;ya lo se cabron... soy problema y solucion;['ya', 'lo', 'se', 'cabron', '...', 'soy', 'problema', 'y', 'solucion'];['cabron...', 'problema', 'solucion']
que es eso cabron;1.0;0;0;0.0;;0;1;1;0.0;1.0;que es eso cabron;['que', 'es', 'eso', 'cabron'];['cabron']
alba “este hijo de puta de platini lo hicieron buenisimo, quien lo conoce!?”;1.0;1;0;0.0;;0;1;0;0.0;1.0;alba “este hijo de puta de platini lo hicieron buenisimo, quien lo conoce!?”;['alba', '“', 'este', 'hijo', 'de', 'puta', 'de', 'platini', 'lo', 'hicieron', 'buenisimo', ',', 'quien', 'lo', 'conoce', '!', '?', '”'];['alba', '“este', 'hijo', 'puta', 'platini', 'hicieron', 'buenisimo,', 'conoce!?”']
si hay un animal al que llamar hijo de puta, seria a este...;1.0;0;0;0.0;;0;0;1;0.0;1.0;si hay un animal al que llamar hijo de puta, seria a este...;['si', 'hay', 'un', 'animal', 'al', 'que', 'llamar', 'hijo', 'de', 'puta', ',', 'seria', 'a', 'este', '...'];['animal', 'llamar', 'hijo', 'puta,', 'seria', 'este...']
que hijo de puta se merece la muerte;1.0;0;0;0.0;;0;1;0;0.0;0.0;que hijo de puta se merece la muerte;['que', 'hijo', 'de', 'puta', 'se', 'merece', 'la', 'muerte'];['hijo', 'puta', 'merece', 'muerte']
mafioso hijo de puta!;1.0;1;0;0.0;;0;0;0;0.0;1.0;mafioso hijo de puta!;['mafioso', 'hijo', 'de', 'puta', '!'];['mafioso', 'hijo', 'puta!']
callate hijo de puta;1.0;0;0;0.0;;0;1;0;0.0;0.0;callate hijo de puta;['callate', 'hijo', 'de', 'puta'];['callate', 'hijo', 'puta']
otra vez este hijo de puta del supermercado tenia la coca sin gas;1.0;0;0;0.0;;0;1;1;0.0;1.0;otra vez este hijo de puta del supermercado tenia la coca sin gas;['otra', 'vez', 'este', 'hijo', 'de', 'puta', 'del', 'supermercado', 'tenia', 'la', 'coca', 'sin', 'gas'];['vez', 'hijo', 'puta', 'supermercado', 'tenia', 'coca', 'gas']
ladron hijo de puta , a patadas vamos a sacarle;1.0;0;0;0.0;;0;1;0;0.0;0.0;ladron hijo de puta , a patadas vamos a sacarle;['ladron', 'hijo', 'de', 'puta', ',', 'a', 'patadas', 'vamos', 'a', 'sacarle'];['ladron', 'hijo', 'puta', ',', 'patadas', 'vamos', 'sacarle']
que hijo de puta! jajajaj;1.0;1;0;0.0;;0;0;0;0.0;1.0;que hijo de puta! jajajaj;['que', 'hijo', 'de', 'puta', '!', 'jajajaj'];['hijo', 'puta!', 'jajajaj']
semejante hijo de puta ese señor tiene guita para comprar ingenios, y ahora esta en quiebra?;1.0;0;0;0.0;;0;1;1;0.0;1.0;semejante hijo de puta ese señor tiene guita para comprar ingenios, y ahora esta en quiebra?;['semejante', 'hijo', 'de', 'puta', 'ese', 'señor', 'tiene', 'guita', 'para', 'comprar', 'ingenios', ',', 'y', 'ahora', 'esta', 'en', 'quiebra', '?'];['semejante', 'hijo', 'puta', 'señor', 'guita', 'comprar', 'ingenios,', 'ahora', 'quiebra?']
responde hijo de puta;1.0;0;0;0.0;;0;1;1;0.0;1.0;responde hijo de puta;['responde', 'hijo', 'de', 'puta'];['responde', 'hijo', 'puta']
te quiero disparar joder, todos los putos besos que no pude darte hostias, te quiero puto disparar cada mierda de caricia que no pude hacerte joder te quiero hijo de puta, te quiero puto dispararrrrr;1.0;0;35;1.0;;0;2;0;0.0;1.0;te quiero disparar joder, todos los putos besos que no pude darte hostias, te quiero puto disparar cada mierda de caricia que no pude hacerte joder te quiero hijo de puta, te quiero puto dispararrrrr;['te', 'quiero', 'disparar', 'joder', ',', 'todos', 'los', 'putos', 'besos', 'que', 'no', 'pude', 'darte', 'hostias', ',', 'te', 'quiero', 'puto', 'disparar', 'cada', 'mierda', 'de', 'caricia', 'que', 'no', 'pude', 'hacerte', 'joder', 'te', 'quiero', 'hijo', 'de', 'puta', ',', 'te', 'quiero', 'puto', 'dispararrrrr'];['quiero', 'disparar', 'joder,', 'putos', 'besos', 'no', 'pude', 'darte', 'hostias,', 'quiero', 'puto', 'disparar', 'cada', 'mierda', 'caricia', 'no', 'pude', 'hacerte', 'joder', 'quiero', 'hijo', 'puta,', 'quiero', 'puto', 'dispararrrrr']
ojala se muera tu mama hijo de puta 😠;1.0;0;0;0.0;😠;1;1;0;-0.299;0.0;ojala se muera tu mama hijo de puta 😠;['ojala', 'se', 'muera', 'tu', 'mama', 'hijo', 'de', 'puta', '😠'];['ojala', 'muera', 'mama', 'hijo', 'puta', '😠']
es un dia en pamplona un señor me dijo agur. el muy hijo de puta.;1.0;0;5;0.3333333333333333;;0;0;1;0.0;1.3333333333333333;es un dia en pamplona un señor me dijo agur. el muy hijo de puta.;['es', 'un', 'dia', 'en', 'pamplona', 'un', 'señor', 'me', 'dijo', 'agur', '.', 'el', 'muy', 'hijo', 'de', 'puta', '.'];['dia', 'pamplona', 'señor', 'dijo', 'agur.', 'hijo', 'puta.']
patilla que coño nos importa donde este este hijo de puta!!!;1.0;3;0;0.0;;0;0;1;0.0;4.0;patilla que coño nos importa donde este este hijo de puta!!!;['patilla', 'que', 'coño', 'nos', 'importa', 'donde', 'este', 'este', 'hijo', 'de', 'puta', '!', '!', '!'];['patilla', 'coño', 'importa', 'hijo', 'puta!!!']
